Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
PPO,47,-2197.82,4830.0,298,1.7839337970045441,06-14 19:50:29
PPO,47,-786.67,873.0,103,2.5437501109188165,06-14 19:50:36
PPO,47,-390.37,4043.0,126,3.0858961543114045,06-14 19:50:41
PPO,47,-252.91,1157.0,75,5.106474294859028,06-14 19:50:47
PPO,47,-440.0,2444.0,58,4.709325404539957,06-14 19:50:52
PPO,47,-543.18,8694.0,83,3.669559434880727,06-14 19:50:57
PPO,47,-599.99,3363.0,61,2.556099742203409,06-14 19:51:01
PPO,47,-430.24,4225.0,86,2.707472022729594,06-14 19:51:06
PPO,47,-468.81,8679.0,78,4.746922415741576,06-14 19:51:11
PPO,47,-409.87,1091.0,58,3.8463282517659767,06-14 19:51:17
PPO,47,-230.24,1567.0,40,5.822589526458032,06-14 19:51:22
PPO,47,-683.35,10199.0,84,2.1438284691209946,06-14 19:51:26
PPO,47,-377.22,3218.0,47,3.2791574324384114,06-14 19:51:30
PPO,47,-1051.75,8478.0,135,1.4461040285064646,06-14 19:51:35
PPO,47,-449.19,1410.0,71,2.7388504437945893,06-14 19:51:39
PPO,47,-661.9,7446.0,72,2.5243461830925256,06-14 19:51:42
PPO,47,-345.7,1699.0,47,4.074642438262617,06-14 19:51:46
PPO,47,-249.17,4736.0,65,3.230944890166474,06-14 19:51:50
PPO,47,-292.06,2210.0,67,3.6881879453928916,06-14 19:51:55
PPO,47,-209.89,2259.0,36,5.658575811189837,06-14 19:51:59
PPO,47,-362.99,14842.0,58,1.8933960660663491,06-14 19:52:03
PPO,47,-164.6,4600.0,30,3.9373937323913273,06-14 19:52:06
PPO,47,-35.56,174.0,10,8.337842315741717,06-14 19:52:10
PPO,47,-445.07,3922.0,94,3.708707082562404,06-14 19:52:14
PPO,47,-236.27,440.0,28,4.205736363785026,06-14 19:52:19
PPO,47,-249.08,1848.0,51,4.383464935902234,06-14 19:52:23
PPO,47,-90.8,2699.0,28,5.9225116372324464,06-14 19:52:28
PPO,47,-97.11,409.0,20,6.587272521549943,06-14 19:52:35
PPO,47,-404.4,5042.0,60,3.219013888265209,06-14 19:52:41
PPO,47,-81.37,432.0,15,7.605266161062181,06-14 19:52:46
PPO,47,-309.84,2563.0,54,2.147736718191404,06-14 19:52:51
PPO,47,-88.66,113.0,7,7.954523537934728,06-14 19:52:57
PPO,47,-49.7,614.0,10,7.704031022375583,06-14 19:53:01
PPO,47,-57.1,1106.0,14,7.707865250946975,06-14 19:53:05
PPO,47,-139.81,579.0,25,6.436307117539082,06-14 19:53:10
PPO,47,-30.66,777.0,8,8.333822812184946,06-14 19:53:14
PPO,47,-184.81,358.0,28,4.262374438148767,06-14 19:53:19
PPO,47,-46.5,625.0,18,8.306397468767274,06-14 19:53:24
PPO,47,-17.24,44.0,4,10.60433106480386,06-14 19:53:28
PPO,47,-54.53,502.0,15,6.273504965591712,06-14 19:53:33
PPO,47,-129.89,1734.0,30,4.068071126900568,06-14 19:53:37
PPO,47,-44.95,381.0,17,5.397937393473037,06-14 19:53:41
PPO,47,-1.56,156.0,5,9.859411507480926,06-14 19:53:45
PPO,47,-0.6500000000000006,65.0,2,11.998240580764374,06-14 19:53:50
PPO,47,-0.66,66.0,2,10.3578353470801,06-14 19:53:54
PPO,47,-0.37999999999999967,41.0,2,12.026980002309402,06-14 19:53:58
PPO,47,-6.08,608.0,12,4.244893306971994,06-14 19:54:02
PPO,47,-6.661338147750939e-16,0.0,0,13.077592982934267,06-14 19:54:06
PPO,47,-0.6900000000000002,69.0,3,11.712606490218738,06-14 19:54:10
PPO,47,1.1102230246251565e-16,0.0,0,12.449664996027737,06-14 19:54:14
PPO,47,-1.04,104.0,4,9.413638762176266,06-14 19:54:18
PPO,47,-1.19,0.0,0,6.745586880131312,06-14 19:54:21
PPO,47,-5.58,558.0,10,5.932953311524158,06-14 19:54:25
PPO,47,-41.6,1512.0,16,4.3331379379927295,06-14 19:54:29
PPO,47,-0.17999999999999944,18.0,1,12.52960549557628,06-14 19:54:32
PPO,47,-6.45,645.0,2,12.019522637142757,06-14 19:54:35
PPO,47,-6.09,121.0,8,9.814056854980059,06-14 19:54:39
PPO,47,-6.79,651.0,8,4.226627894327531,06-14 19:54:43
PPO,47,-1.0500000000000003,105.0,4,10.059970523929767,06-14 19:54:46
PPO,47,-0.6800000000000006,0.0,0,7.987386415444043,06-14 19:54:49
PPO,47,-0.6699999999999996,67.0,2,11.155115972763776,06-14 19:54:53
PPO,47,4.163336342344337e-16,0.0,0,13.829906535501859,06-14 19:54:56
PPO,47,-16.12,633.0,17,8.013758374703869,06-14 19:54:59
PPO,47,-2.83,283.0,7,7.436114345573834,06-14 19:55:02
PPO,47,-8.63,863.0,14,3.431492888670566,06-14 19:55:05
PPO,47,-2.8599999999999994,286.0,7,5.5610653560672105,06-14 19:55:09
PPO,47,-0.39000000000000007,39.0,2,12.665906507555164,06-14 19:55:13
PPO,47,-6.53,653.0,8,8.717059228071738,06-14 19:55:16
